Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
90,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21-345,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,1,9,6
91,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19-293,2004,11,4,475,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.2,1.6,17,20,40
92,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,27-150,1996,17,7,592,6.6,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8,7,21,35
93,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27-272,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30
94,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,20-068,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1
95,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,23-131,2000,29,26,1830,20.3,4,1,5,4,0,0,2,0,4.4,4.4,1.4,5.8,58,46,83
96,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26-065,1998,6,6,416,4.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,10,17,10
97,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,22-101,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,2
98,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28-062,1996,10,6,643,7.1,2,1,3,2,0,0,1,0,0.8,0.8,0.5,1.3,4,27,38
99,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27-169,1996,10,10,872,9.7,1,2,3,1,0,1,4,0,1.6,0.8,2.8,3.7,9,59,14
100,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,27-169,1996,8,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,6,6
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
101,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18-343,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
102,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,27-236,1996,15,7,652,7.2,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.2,5,52,9
103,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27-318,1996,31,31,2789,31.0,2,2,4,2,0,0,5,0,1.3,1.3,1.7,3.0,21,128,8
104,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,21-159,2002,14,5,589,6.5,0,1,1,0,0,0,0,0,0.8,0.8,1.0,1.8,25,39,46
105,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-364,1993,32,29,2415,26.8,5,6,11,5,0,0,3,0,4.0,4.0,6.0,10.0,95,110,191
106,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33-254,1990,26,25,2244,24.9,3,0,3,3,0,0,7,0,2.4,2.4,1.0,3.4,19,158,28
107,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28-287,1995,6,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,5,23
108,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29-204,1994,22,12,1158,12.9,2,1,3,2,0,0,3,0,0.8,0.8,1.4,2.2,17,72,10
109,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,26-033,1998,12,10,931,10.3,1,0,1,1,0,0,2,0,0.6,0.6,0.1,0.7,3,17,0
110,Angeliño,es ESP,DF,Roma,it Serie A,27-100,1997,9,8,620,6.9,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,5,23,21
111,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,30-029,1994,8,1,101,1.1,0,0,0,0,0,0,2,1,0.0,0.0,0.2,0.2,1,3,5
112,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,24-134,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9
113,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27-268,1996,27,26,2346,26.1,0,3,3,0,0,0,5,0,1.4,1.4,0.9,2.2,34,143,12
114,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34-016,1990,20,15,1227,13.6,4,2,6,4,0,0,5,0,3.8,3.8,0.9,4.6,36,17,80
115,Antony,br BRA,FW,Manchester Utd,eng Premier League,24-049,2000,25,12,1100,12.2,0,1,1,0,0,0,4,0,1.7,1.7,2.4,4.1,44,55,124
116,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,30-066,1994,22,11,1133,12.6,1,2,3,1,0,0,4,0,1.9,1.9,3.4,5.3,49,27,130
