Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
1438,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,21,2001,35,29,2439,27.1,9,4,13,9,0,0,3,0,5.9,5.9,6,11.9,117,81,239
1439,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,eng Premier League,22,2000,30,23,2067,23,2,7,9,2,0,0,2,0,2.6,2.6,4.7,7.2,87,67,195
1440,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,17,2005,20,14,1320,14.7,0,2,2,0,0,0,8,0,0.4,0.4,1.2,1.7,16,40,84
1441,Marash Kumbulla,al ALB,DF,Roma,it Serie A,22,2000,7,5,259,2.9,0,0,0,0,0,0,1,1,0,0,0.1,0.1,2,8,1
1442,Pierre Kunde,cm CMR,"MF,FW",Bochum,de Bundesliga,27,1995,12,3,377,4.2,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.5,6,16,1
1443,Alou Kuol,au AUS,FW,Stuttgart,de Bundesliga,21,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,Layvin Kurzawa,fr FRA,DF,Fulham,eng Premier League,29,1992,3,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2
1445,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,21,2001,34,30,2518,28,12,10,22,10,2,2,1,0,8.2,6.6,7.7,14.2,139,91,291
1446,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,26,1995,37,26,2232,24.8,10,3,13,6,4,6,3,0,11.7,7,1.6,8.6,27,37,160
1447,Daniel Kyereh,gh GHA,"MF,FW",Freiburg,de Bundesliga,26,1996,12,7,559,6.2,2,0,2,2,0,0,2,0,2.2,2.2,0.3,2.5,5,11,24
1448,Giorgos Kyriakopoulos,gr GRE,"DF,FW",Bologna,it Serie A,26,1996,12,8,704,7.8,0,2,2,0,0,0,2,0,0.2,0.2,0.8,1,21,23,50
1449,Giorgos Kyriakopoulos,gr GRE,"FW,DF",Sassuolo,it Serie A,26,1996,12,9,766,8.5,1,1,2,1,0,0,3,0,1.1,1.1,1.4,2.5,17,32,46
1450,César de la Hoz,es ESP,MF,Almería,es La Liga,30,1992,25,18,1673,18.6,1,0,1,1,0,0,6,0,0.4,0.4,0.9,1.3,3,49,6
1451,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,24,1998,28,16,1481,16.5,0,2,2,0,0,0,6,0,1.1,1.1,1.3,2.4,55,62,73
1452,Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,fr Ligue 1,19,2003,10,0,123,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,3,3,16
1453,Gaëtan Laborde,fr FRA,FW,Nice,fr Ligue 1,28,1994,33,28,2506,27.8,13,3,16,13,0,1,0,0,11.8,11,5.8,16.9,54,53,196
1454,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,28,1994,4,3,249,2.8,2,0,2,2,0,0,0,0,1.7,1.7,0.2,1.9,8,5,20
1455,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,31,1991,35,34,2929,32.5,27,5,32,21,6,8,3,0,24.2,17.9,5.4,23.2,40,108,227
1456,Qazim Laçi,al ALB,MF,Ajaccio,fr Ligue 1,26,1996,9,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,24,4
1457,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,22,2000,24,18,1627,18.1,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,15,83,4
1458,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,23,1999,37,37,3329,37,0,0,0,0,0,0,2,1,0,0,0.1,0.1,1,1,0
1459,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,25,1996,14,11,871,9.7,2,0,2,2,0,0,4,0,0.8,0.8,0.9,1.7,10,40,25
1460,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,25,1997,21,17,1468,16.3,3,0,3,3,0,0,8,0,2.4,2.4,2.3,4.7,51,93,52
1461,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,29,1992,17,9,817,9.1,0,0,0,0,0,0,2,0,0.8,0.8,1.2,2,23,45,39
1462,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,30,1991,17,16,1417,15.7,0,2,2,0,0,0,4,0,0.4,0.4,2,2.4,24,61,30
1463,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,34,1988,16,12,722,8,2,1,3,2,0,0,0,0,0.9,0.9,1,1.9,10,33,43
1464,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,32,1990,15,7,627,7,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,1,26,0
1465,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,30,1992,32,20,1844,20.5,6,0,6,6,0,0,10,1,5.3,5.3,1.4,6.7,66,69,162
1466,Mohamed Lamine Bayo,gn GUI,"FW,MF",Lille,fr Ligue 1,24,1998,27,6,651,7.2,4,1,5,4,0,0,1,0,3.2,3.2,1.8,5,8,5,48
